DateTime,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2026-01-01 00:00:00,216.85,681.400024,349.08,1964.92,0.095261,8.22827
2026-01-01 01:00:00,214.95,681.5,358.0,1964.92,0.040243,2.791026
2026-01-01 02:00:00,219.45,682.200012,348.9,1964.85,0,0.953883
2026-01-01 03:00:00,220.8,683.599975,315.35,1964.25,0,1.180615
2026-01-01 04:00:00,216.68,685.599975,379.62,1962.85,0,1.819647
2026-01-01 05:00:00,199.8,688.5,265.35,1962.58,0,1.693879
2026-01-01 06:00:00,213.5,692.099975,297.68,1962.9,0,1.994592
2026-01-01 07:00:00,215.75,696.700012,350.58,1963.65,25.154195,7.05963
2026-01-01 08:00:00,201.3,702.200012,375.28,1964.05,222.720794,13.131772
2026-01-01 09:00:00,66.78,708.599975,265.58,1963.78,544.712158,32.626838
2026-01-01 10:00:00,32.18,716.200012,145.6,1964.62,825.289916,36.139442
2026-01-01 11:00:00,30.22,724.799987,134.25,1963.48,931.8031,38.739868
2026-01-01 12:00:00,28.78,734.599975,175.32,1958.45,833.89624,41.275478
2026-01-01 13:00:00,30.58,745.400024,166.8,1961.85,597.862609,49.172382
2026-01-01 14:00:00,33.18,757.200012,277.92,1961.42,289.87265,39.706325
2026-01-01 15:00:00,46.52,769.799987,367.05,1960.15,53.783111,43.86671
2026-01-01 16:00:00,240.52,783.200012,518.3,1959.3,2.452643,52.786888
2026-01-01 17:00:00,286.32,797.099975,487.32,1959.45,2.298214,59.759941
2026-01-01 18:00:00,179.35,811.599975,486.92,1960.22,1.548711,68.356216
2026-01-01 19:00:00,185.28,826.5,423.6,1960.05,0.984859,57.047191
2026-01-01 20:00:00,107.05,841.599975,288.2,1960.02,0.737568,63.337284
2026-01-01 21:00:00,76.32,857.0,291.3,1960.25,0.504951,66.150749
2026-01-01 22:00:00,81.35,872.400024,346.82,1961.18,0.360416,61.84671
2026-01-01 23:00:00,21.08,677.900024,293.5,1960.6,0.214542,60.26456
2026-01-02 00:00:00,19.15,674.299987,263.65,1961.68,0.141091,54.716793
2026-01-02 01:00:00,24.12,671.200012,225.22,1961.75,0.054311,50.553924
2026-01-02 02:00:00,26.18,668.599975,125.62,1961.38,0.016651,56.326965
2026-01-02 03:00:00,17.4,666.599975,142.35,1961.12,0,54.030441
2026-01-02 04:00:00,25.1,665.099975,162.82,1960.18,0,52.606353
2026-01-02 05:00:00,58.78,664.400024,293.32,1959.12,0,52.556392
2026-01-02 06:00:00,325.28,664.5,394.98,1958.12,0,48.765804
2026-01-02 07:00:00,298.22,665.400024,546.6,1958.7,18.455219,42.125595
2026-01-02 08:00:00,211.4,667.200012,567.38,1960.4,125.940841,42.731746
2026-01-02 09:00:00,52.2,670.0,381.4,1961.95,288.418548,46.124927
2026-01-02 10:00:00,47.22,673.900024,363.08,1962.6,415.57962,38.426631
2026-01-02 11:00:00,46.75,679.0,296.18,1961.05,512.471984,38.345298
2026-01-02 12:00:00,55.88,685.200012,289.95,1960.6,427.325378,35.601715
2026-01-02 13:00:00,53.2,692.5,472.5,1961.12,236.665756,29.976716
2026-01-02 14:00:00,60.9,700.900024,418.98,1960.45,113.729583,23.438888
2026-01-02 15:00:00,408.7,710.099975,570.02,1960.9,16.594253,20.230571
2026-01-02 16:00:00,840.18,720.200012,606.92,1960.58,0.662455,20.660213
2026-01-02 17:00:00,872.65,731.0,615.65,1960.45,0.60372,24.049383
2026-01-02 18:00:00,881.2,742.299987,640.4,1960.18,0.262455,22.301908
2026-01-02 19:00:00,604.02,754.200012,505.08,1959.15,0.082686,20.495735
2026-01-02 20:00:00,353.22,766.400024,458.88,1960.55,0.019179,21.086019
2026-01-02 21:00:00,316.52,778.900024,295.05,1961.62,0,18.118785
2026-01-02 22:00:00,143.05,791.700012,308.02,1961.85,0,12.156395
2026-01-02 23:00:00,25.68,662.0,237.28,1962.18,0,10.267202
2026-01-03 00:00:00,27.98,660.900024,155.4,1963.05,0,10.190864
2026-01-03 01:00:00,26.12,660.099975,122.92,1963.95,0,10.097182
2026-01-03 02:00:00,24.92,659.700012,103.2,1963.18,0,9.594326
2026-01-03 03:00:00,15.78,659.700012,191.0,1963.72,0,7.794568
2026-01-03 04:00:00,24.52,660.200012,199.45,1962.8,0,7.49894
2026-01-03 05:00:00,28.42,661.099975,321.2,1962.6,0,6.354416
2026-01-03 06:00:00,34.52,662.5,332.02,1962.68,0,5.261164
2026-01-03 07:00:00,118.48,664.400024,335.92,1963.1,3.32889,6.803623
2026-01-03 08:00:00,160.25,666.900024,381.85,1963.0,39.159149,9.934199
2026-01-03 09:00:00,107.65,669.900024,432.32,1963.82,116.39344,11.207367
2026-01-03 10:00:00,34.05,673.599975,302.52,1963.75,226.297592,12.787962
2026-01-03 11:00:00,30.88,678.0,335.92,1963.35,305.067596,12.010433
