Date,ENTSOE_Hydro Pumped Storage,ENTSOE_Hydro Run-of-river and poundage,ENTSOE_Hydro Water Reservoir,ENTSOE_Nuclear,ENTSOE_Solar,ENTSOE_Wind Onshore,SFOE_Flusskraft,SFOE_Kernkraft,SFOE_Photovoltaik,SFOE_Speicherkraft,SFOE_Thermische,SFOE_Wind
2026-01-01,3.36,17.82,7.71,47.09,4.33,0.81,18,47,11.4,25.5,11.3,0.8
2026-01-02,5.77,16.77,9.18,47.06,2.16,0.84,17.3,46.9,5.7,27.2,11.3,0.9
2026-01-03,4.41,16.53,8.22,47.12,1.45,0.34,16.9,47,3.8,24.3,11.3,0.3
2026-01-04,6.64,16.70,17.52,47.14,2.17,0.09,17.7,47,5.7,27.9,11.3,0.1
2026-01-05,60.72,22.84,53.41,47.12,1.87,0.12,25.3,47,4.9,140.3,11.3,0.1
2026-01-06,56.09,27.35,50.03,47.09,1.62,0.21,28.9,47,4.2,130.5,11.3,0.2
2026-01-07,30.12,23.42,46.96,47.11,2.10,0.36,25.5,47,5.5,95.7,11.3,0.3
2026-01-08,44.12,23.28,48.34,47.06,0.42,1.09,25.7,46.9,1.1,116.7,11.3,1
2026-01-09,22.03,23.21,42.65,46.97,1.83,1.49,25,46.8,4.8,79.7,11.3,1.5
2026-01-10,7.02,19.44,29.30,47.13,0.68,1.27,20.4,47,1.8,47.1,11.3,1.3
2026-01-11,3.78,16.12,14.17,47.13,0.90,0.26,17.3,47,2.4,24.9,11.3,0.3
2026-01-12,41.02,23.22,50.93,47.10,1.18,1.03,25.6,47,3.1,111.3,11.3,1
2026-01-13,38.94,26.01,47.42,47.08,2.45,1.26,29.4,46.9,6.4,101.8,11.3,1.2
2026-01-14,28.74,24.21,38.73,47.08,3.67,0.97,26.8,46.9,9.6,84.9,11.3,1
2026-01-15,23.05,23.65,43.01,47.04,4.09,0.95,26.1,46.9,10.8,79.3,11.3,0.9
2026-01-16,26.07,23.55,40.25,47.13,3.50,0.69,25.2,46.8,9.2,84.1,11.3,0.7
2026-01-17,7.53,18.10,15.56,47.12,2.86,0.65,19.4,46.9,7.5,29.7,11.3,0.6
2026-01-18,4.67,17.07,10.25,45.45,2.19,0.56,17.5,45.5,5.8,21,11.3,0.6
2026-01-19,22.62,19.55,31.41,47.11,3.06,0.38,20.1,47,8,65.8,11.3,0.4
2026-01-20,27.65,22.05,37.48,47.12,3.93,0.50,23.2,47,10.3,80,11.3,0.5
2026-01-21,38.88,22.67,46.66,47.12,4.30,0.26,25.1,47,11.3,102.4,11.3,0.3
2026-01-22,40.05,25.29,47.19,47.11,3.32,0.15,27,47,8.7,106.4,11.3,0.2
2026-01-23,40.17,24.53,45.46,47.12,2.93,0.41,26.2,47,7.7,105.9,11.3,0.4
2026-01-24,9.19,18.98,21.24,47.12,2.27,0.24,19.9,47,6,37,11.3,0.2
2026-01-25,2.84,16.47,11.24,47.12,3.20,0.15,17.1,47,8.4,19.1,11.3,0.2
2026-01-26,31.90,21.70,35.65,47.07,3.41,0.35,22.8,46.9,9,82.8,11.3,0.3
2026-01-27,27.25,22.46,30.94,47.12,3.18,1.45,23.8,47,8.4,69.9,11.3,1.5
2026-01-28,29.84,23.88,35.55,47.09,1.12,0.19,25,47,2.9,80.4,11.3,0.2
2026-01-29,38.85,24.77,36.54,47.06,3.15,0.18,25.8,46.9,8.3,92,11.3,0.2
2026-01-30,21.90,21.75,28.71,47.10,1.98,0.65,23,46.9,5.2,61,11.3,0.7
2026-01-31,4.82,18.36,11.26,47.11,3.03,0.09,19.1,46.9,8,22.5,11.3,0.1
