Datum,Energietraeger,Produktion_GWh
2015-01-01,Flusskraft,22.6
2015-01-01,Kernkraft,79.6
2015-01-01,Photovoltaik,1.2
2015-01-01,Speicherkraft,38.7
2015-01-01,Thermische,10.4
2015-01-01,Wind,0.1
2015-01-02,Flusskraft,22.9
2015-01-02,Kernkraft,79.6
2015-01-02,Photovoltaik,0.8
2015-01-02,Speicherkraft,46.8
2015-01-02,Thermische,10.4
2015-01-02,Wind,0.5
2015-01-03,Flusskraft,25.4
2015-01-03,Kernkraft,79.5
2015-01-03,Photovoltaik,0.5
2015-01-03,Speicherkraft,31.3
2015-01-03,Thermische,10.4
2015-01-03,Wind,0.5
2015-01-04,Flusskraft,39.2
2015-01-04,Kernkraft,79.4
2015-01-04,Photovoltaik,0.8
2015-01-04,Speicherkraft,26.0
2015-01-04,Thermische,10.4
2015-01-04,Wind,0.4
2015-01-05,Flusskraft,33.0
2015-01-05,Kernkraft,79.5
2015-01-05,Photovoltaik,1.4
2015-01-05,Speicherkraft,60.8
2015-01-05,Thermische,10.4
2015-01-05,Wind,0.1
2015-01-06,Flusskraft,32.4
2015-01-06,Kernkraft,79.4
2015-01-06,Photovoltaik,1.4
2015-01-06,Speicherkraft,67.9
2015-01-06,Thermische,10.4
2015-01-06,Wind,0.2
2015-01-07,Flusskraft,34.7
2015-01-07,Kernkraft,79.5
2015-01-07,Photovoltaik,1.0
2015-01-07,Speicherkraft,82.1
2015-01-07,Thermische,10.4
2015-01-07,Wind,0.2
2015-01-08,Flusskraft,32.5
2015-01-08,Kernkraft,78.9
2015-01-08,Photovoltaik,1.1
2015-01-08,Speicherkraft,74.2
2015-01-08,Thermische,10.4
2015-01-08,Wind,0.6
2015-01-09,Flusskraft,31.0
2015-01-09,Kernkraft,79.0
2015-01-09,Photovoltaik,0.5
2015-01-09,Speicherkraft,71.8
2015-01-09,Thermische,10.4
2015-01-09,Wind,0.8
2015-01-10,Flusskraft,32.5
2015-01-10,Kernkraft,78.8
2015-01-10,Photovoltaik,0.8
2015-01-10,Speicherkraft,39.3
2015-01-10,Thermische,10.4
2015-01-10,Wind,0.8
2015-01-11,Flusskraft,33.9
2015-01-11,Kernkraft,79.2
2015-01-11,Photovoltaik,0.9
2015-01-11,Speicherkraft,32.8
2015-01-11,Thermische,10.4
2015-01-11,Wind,0.7
2015-01-12,Flusskraft,35.3
2015-01-12,Kernkraft,79.4
2015-01-12,Photovoltaik,1.2
2015-01-12,Speicherkraft,68.8
2015-01-12,Thermische,10.4
2015-01-12,Wind,0.6
2015-01-13,Flusskraft,34.9
2015-01-13,Kernkraft,79.3
2015-01-13,Photovoltaik,1.4
2015-01-13,Speicherkraft,65.0
2015-01-13,Thermische,10.4
2015-01-13,Wind,0.8
2015-01-14,Flusskraft,36.1
2015-01-14,Kernkraft,79.0
2015-01-14,Photovoltaik,0.5
2015-01-14,Speicherkraft,75.1
2015-01-14,Thermische,10.4
2015-01-14,Wind,0.7
2015-01-15,Flusskraft,35.5
2015-01-15,Kernkraft,79.1
2015-01-15,Photovoltaik,1.0
2015-01-15,Speicherkraft,74.2
2015-01-15,Thermische,10.4
2015-01-15,Wind,0.6
2015-01-16,Flusskraft,36.4
2015-01-16,Kernkraft,79.3
2015-01-16,Photovoltaik,0.6
2015-01-16,Speicherkraft,75.1
2015-01-16,Thermische,10.4
2015-01-16,Wind,0.3
2015-01-17,Flusskraft,36.4
2015-01-17,Kernkraft,79.4
2015-01-17,Photovoltaik,0.4
2015-01-17,Speicherkraft,54.7
2015-01-17,Thermische,10.4
2015-01-17,Wind,0.2
2015-01-18,Flusskraft,32.6
2015-01-18,Kernkraft,79.4
2015-01-18,Photovoltaik,1.3
2015-01-18,Speicherkraft,37.0
2015-01-18,Thermische,10.4
2015-01-18,Wind,0.2
2015-01-19,Flusskraft,37.1
2015-01-19,Kernkraft,79.5
2015-01-19,Photovoltaik,0.9
2015-01-19,Speicherkraft,87.1
2015-01-19,Thermische,10.4
2015-01-19,Wind,0.2
2015-01-20,Flusskraft,40.1
2015-01-20,Kernkraft,79.3
2015-01-20,Photovoltaik,0.8
2015-01-20,Speicherkraft,101.8
2015-01-20,Thermische,10.4
2015-01-20,Wind,0.2
2015-01-21,Flusskraft,40.9
2015-01-21,Kernkraft,72.2
2015-01-21,Photovoltaik,1.1
2015-01-21,Speicherkraft,94.5
2015-01-21,Thermische,10.4
2015-01-21,Wind,0.2
2015-01-22,Flusskraft,39.7
2015-01-22,Kernkraft,63.8
2015-01-22,Photovoltaik,1.1
2015-01-22,Speicherkraft,91.6
2015-01-22,Thermische,10.4
2015-01-22,Wind,0.2
2015-01-23,Flusskraft,38.1
2015-01-23,Kernkraft,73.0
2015-01-23,Photovoltaik,0.8
2015-01-23,Speicherkraft,97.6
2015-01-23,Thermische,10.4
2015-01-23,Wind,0.5
2015-01-24,Flusskraft,32.5
2015-01-24,Kernkraft,79.3
2015-01-24,Photovoltaik,1.0
2015-01-24,Speicherkraft,48.1
2015-01-24,Thermische,10.4
2015-01-24,Wind,0.3
2015-01-25,Flusskraft,29.9
2015-01-25,Kernkraft,79.5
2015-01-25,Photovoltaik,1.3
2015-01-25,Speicherkraft,38.7
2015-01-25,Thermische,10.4
2015-01-25,Wind,0.6
2015-01-26,Flusskraft,35.0
2015-01-26,Kernkraft,79.5
2015-01-26,Photovoltaik,0.9
2015-01-26,Speicherkraft,92.8
2015-01-26,Thermische,10.4
2015-01-26,Wind,0.3
2015-01-27,Flusskraft,35.5
2015-01-27,Kernkraft,79.6
2015-01-27,Photovoltaik,1.1
2015-01-27,Speicherkraft,87.3
2015-01-27,Thermische,10.4
2015-01-27,Wind,0.3
2015-01-28,Flusskraft,32.6
2015-01-28,Kernkraft,79.7
2015-01-28,Photovoltaik,1.4
2015-01-28,Speicherkraft,79.3
2015-01-28,Thermische,10.4
2015-01-28,Wind,0.4
2015-01-29,Flusskraft,33.3
2015-01-29,Kernkraft,79.4
2015-01-29,Photovoltaik,0.8
2015-01-29,Speicherkraft,82.1
2015-01-29,Thermische,10.4
2015-01-29,Wind,0.7
2015-01-30,Flusskraft,35.4
2015-01-30,Kernkraft,79.5
2015-01-30,Photovoltaik,1.1
2015-01-30,Speicherkraft,81.0
2015-01-30,Thermische,10.4
2015-01-30,Wind,0.7
2015-01-31,Flusskraft,31.4
2015-01-31,Kernkraft,78.4
2015-01-31,Photovoltaik,1.3
2015-01-31,Speicherkraft,57.3
2015-01-31,Thermische,10.4
2015-01-31,Wind,0.3
2015-02-01,Flusskraft,24.2
2015-02-01,Kernkraft,79.9
2015-02-01,Photovoltaik,1.0
2015-02-01,Speicherkraft,40.9
2015-02-01,Thermische,11.0
2015-02-01,Wind,0.5
2015-02-02,Flusskraft,29.5
2015-02-02,Kernkraft,79.9
2015-02-02,Photovoltaik,1.2
2015-02-02,Speicherkraft,94.4
2015-02-02,Thermische,11.0
2015-02-02,Wind,0.4
2015-02-03,Flusskraft,32.6
2015-02-03,Kernkraft,80.0
2015-02-03,Photovoltaik,1.6
2015-02-03,Speicherkraft,99.2
2015-02-03,Thermische,11.0
2015-02-03,Wind,0.3
2015-02-04,Flusskraft,31.6
2015-02-04,Kernkraft,80.0
2015-02-04,Photovoltaik,1.4
2015-02-04,Speicherkraft,91.9
2015-02-04,Thermische,11.0
2015-02-04,Wind,0.6
2015-02-05,Flusskraft,32.7
2015-02-05,Kernkraft,80.0
2015-02-05,Photovoltaik,0.8
2015-02-05,Speicherkraft,103.0
2015-02-05,Thermische,11.0
2015-02-05,Wind,0.8
2015-02-06,Flusskraft,32.4
2015-02-06,Kernkraft,79.9
2015-02-06,Photovoltaik,1.2
2015-02-06,Speicherkraft,102.3
2015-02-06,Thermische,11.0
2015-02-06,Wind,0.8
2015-02-07,Flusskraft,29.9
2015-02-07,Kernkraft,79.9
2015-02-07,Photovoltaik,2.0
2015-02-07,Speicherkraft,87.0
2015-02-07,Thermische,11.0
2015-02-07,Wind,0.4
2015-02-08,Flusskraft,25.6
2015-02-08,Kernkraft,79.9
2015-02-08,Photovoltaik,1.3
2015-02-08,Speicherkraft,50.6
2015-02-08,Thermische,11.0
2015-02-08,Wind,0.6
2015-02-09,Flusskraft,30.2
2015-02-09,Kernkraft,79.9
2015-02-09,Photovoltaik,1.6
2015-02-09,Speicherkraft,104.9
2015-02-09,Thermische,11.0
2015-02-09,Wind,0.3
2015-02-10,Flusskraft,32.0
2015-02-10,Kernkraft,79.9
2015-02-10,Photovoltaik,2.5
2015-02-10,Speicherkraft,96.6
2015-02-10,Thermische,11.0
2015-02-10,Wind,0.3
2015-02-11,Flusskraft,30.5
2015-02-11,Kernkraft,79.8
2015-02-11,Photovoltaik,2.5
2015-02-11,Speicherkraft,91.2
2015-02-11,Thermische,11.0
2015-02-11,Wind,0.1
2015-02-12,Flusskraft,29.0
2015-02-12,Kernkraft,79.6
2015-02-12,Photovoltaik,2.6
2015-02-12,Speicherkraft,82.9
2015-02-12,Thermische,11.0
2015-02-12,Wind,0.1
2015-02-13,Flusskraft,26.3
2015-02-13,Kernkraft,79.7
2015-02-13,Photovoltaik,1.9
2015-02-13,Speicherkraft,76.5
2015-02-13,Thermische,11.0
2015-02-13,Wind,0.3
2015-02-14,Flusskraft,22.0
2015-02-14,Kernkraft,79.8
2015-02-14,Photovoltaik,1.5
2015-02-14,Speicherkraft,34.5
2015-02-14,Thermische,11.0
2015-02-14,Wind,0.4
2015-02-15,Flusskraft,20.8
2015-02-15,Kernkraft,79.8
2015-02-15,Photovoltaik,1.6
2015-02-15,Speicherkraft,34.7
2015-02-15,Thermische,11.0
2015-02-15,Wind,0.2
2015-02-16,Flusskraft,25.4
2015-02-16,Kernkraft,79.8
2015-02-16,Photovoltaik,2.4
2015-02-16,Speicherkraft,77.1
2015-02-16,Thermische,11.0
2015-02-16,Wind,0.2
2015-02-17,Flusskraft,26.4
2015-02-17,Kernkraft,79.8
2015-02-17,Photovoltaik,2.4
2015-02-17,Speicherkraft,86.7
2015-02-17,Thermische,11.0
2015-02-17,Wind,0.3
2015-02-18,Flusskraft,28.4
2015-02-18,Kernkraft,79.8
2015-02-18,Photovoltaik,2.4
2015-02-18,Speicherkraft,90.8
2015-02-18,Thermische,11.0
2015-02-18,Wind,0.2
2015-02-19,Flusskraft,28.4
2015-02-19,Kernkraft,79.8
2015-02-19,Photovoltaik,3.0
2015-02-19,Speicherkraft,81.5
2015-02-19,Thermische,11.0
2015-02-19,Wind,0.2
2015-02-20,Flusskraft,26.0
2015-02-20,Kernkraft,79.8
2015-02-20,Photovoltaik,3.1
2015-02-20,Speicherkraft,74.7
2015-02-20,Thermische,11.0
2015-02-20,Wind,0.5
2015-02-21,Flusskraft,23.7
2015-02-21,Kernkraft,79.8
2015-02-21,Photovoltaik,0.9
2015-02-21,Speicherkraft,52.4
2015-02-21,Thermische,11.0
2015-02-21,Wind,0.4
2015-02-22,Flusskraft,22.4
2015-02-22,Kernkraft,79.8
2015-02-22,Photovoltaik,2.0
2015-02-22,Speicherkraft,34.4
2015-02-22,Thermische,11.0
2015-02-22,Wind,0.2
2015-02-23,Flusskraft,26.5
2015-02-23,Kernkraft,79.8
2015-02-23,Photovoltaik,0.8
2015-02-23,Speicherkraft,78.9
2015-02-23,Thermische,11.0
2015-02-23,Wind,0.5
2015-02-24,Flusskraft,27.9
2015-02-24,Kernkraft,79.7
2015-02-24,Photovoltaik,1.5
2015-02-24,Speicherkraft,78.1
2015-02-24,Thermische,11.0
2015-02-24,Wind,0.4
2015-02-25,Flusskraft,26.9
2015-02-25,Kernkraft,79.8
2015-02-25,Photovoltaik,2.7
2015-02-25,Speicherkraft,82.1
2015-02-25,Thermische,11.0
2015-02-25,Wind,0.2
2015-02-26,Flusskraft,27.1
2015-02-26,Kernkraft,79.7
2015-02-26,Photovoltaik,3.3
2015-02-26,Speicherkraft,71.6
2015-02-26,Thermische,11.0
2015-02-26,Wind,0.1
2015-02-27,Flusskraft,26.6
2015-02-27,Kernkraft,79.8
2015-02-27,Photovoltaik,0.8
2015-02-27,Speicherkraft,77.7
2015-02-27,Thermische,11.0
2015-02-27,Wind,0.4
2015-02-28,Flusskraft,22.9
2015-02-28,Kernkraft,79.8
2015-02-28,Photovoltaik,2.0
2015-02-28,Speicherkraft,39.2
2015-02-28,Thermische,11.0
2015-02-28,Wind,0.2
2015-03-01,Flusskraft,26.2
2015-03-01,Kernkraft,79.7
2015-03-01,Photovoltaik,1.0
2015-03-01,Speicherkraft,28.7
2015-03-01,Thermische,8.5
