Date,Flusskraft,Kernkraft,Photovoltaik,Speicherkraft,Thermische,Wind
2026-01-01,18,47,11.4,25.5,11.3,0.8
2026-01-02,17.3,46.9,5.7,27.2,11.3,0.9
2026-01-03,16.9,47,3.8,24.3,11.3,0.3
2026-01-04,17.7,47,5.7,27.9,11.3,0.1
2026-01-05,25.3,47,4.9,140.3,11.3,0.1
2026-01-06,28.9,47,4.2,130.5,11.3,0.2
2026-01-07,25.5,47,5.5,95.7,11.3,0.3
2026-01-08,25.7,46.9,1.1,116.7,11.3,1
2026-01-09,25,46.8,4.8,79.7,11.3,1.5
2026-01-10,20.4,47,1.8,47.1,11.3,1.3
2026-01-11,17.3,47,2.4,24.9,11.3,0.3
2026-01-12,25.6,47,3.1,111.3,11.3,1
2026-01-13,29.4,46.9,6.4,101.8,11.3,1.2
2026-01-14,26.8,46.9,9.6,84.9,11.3,1
2026-01-15,26.1,46.9,10.8,79.3,11.3,0.9
2026-01-16,25.2,46.8,9.2,84.1,11.3,0.7
2026-01-17,19.4,46.9,7.5,29.7,11.3,0.6
2026-01-18,17.5,45.5,5.8,21,11.3,0.6
2026-01-19,20.1,47,8,65.8,11.3,0.4
2026-01-20,23.2,47,10.3,80,11.3,0.5
2026-01-21,25.1,47,11.3,102.4,11.3,0.3
2026-01-22,27,47,8.7,106.4,11.3,0.2
2026-01-23,26.2,47,7.7,105.9,11.3,0.4
2026-01-24,19.9,47,6,37,11.3,0.2
2026-01-25,17.1,47,8.4,19.1,11.3,0.2
2026-01-26,22.8,46.9,9,82.8,11.3,0.3
2026-01-27,23.8,47,8.4,69.9,11.3,1.5
2026-01-28,25,47,2.9,80.4,11.3,0.2
2026-01-29,25.8,46.9,8.3,92,11.3,0.2
2026-01-30,23,46.9,5.2,61,11.3,0.7
2026-01-31,19.1,46.9,8,22.5,11.3,0.1
2026-02-01,18,47,12.8,14.2,11.4,0.3
2026-02-02,21.1,47.1,15.6,57.6,11.4,1
2026-02-03,22.5,47,12.1,55.2,11.4,0.8
2026-02-04,26.4,47,8.2,75.3,11.4,0.3
2026-02-05,24,47,15.1,63.6,11.4,0.6
2026-02-06,24.5,47,8.2,72,11.4,0.7
2026-02-07,19.6,47,16.6,23.5,11.4,0.1
2026-02-08,17.6,47,8.8,18.5,11.4,0.2
2026-02-09,23.5,47,12.9,89,11.4,0.3
2026-02-10,26.1,47.1,8.5,71.4,11.4,1.4
2026-02-11,32,46.9,7.7,59,11.4,1.4
2026-02-12,31.9,46.9,5.7,44.2,11.4,1.5
2026-02-13,33.1,46.9,20.6,55.6,11.4,0.6
2026-02-14,31.4,47,5.5,45.7,11.4,0.4
2026-02-15,30.9,47.1,11.5,28.9,11.4,0.6
2026-02-16,38.3,47,7.9,55.1,11.4,1.3
2026-02-17,39.2,47,11.3,61.1,11.4,1.2
2026-02-18,38.5,47.1,6,67.7,11.4,1.2
2026-02-19,38.2,47,7.2,74.1,11.4,0.9
2026-02-20,34.7,46.9,10.3,51.6,11.4,0.7
2026-02-21,30.7,46.9,6.1,27.5,11.4,1
2026-02-22,29.4,46.9,18.9,24.4,11.4,0.6
2026-02-23,33.4,46.9,16.4,54.4,11.4,1
2026-02-24,39.4,46.8,19.6,82.2,11.4,0.7
2026-02-25,39,46.8,25.6,75.7,11.4,0.2
2026-02-26,36,46.9,28.7,59.1,11.4,0.3
2026-02-27,35.4,46.8,29.8,64.2,11.4,0.4
2026-02-28,32.1,46.9,13.3,34.1,11.4,0.4
2026-03-01,26.6,47,19,21.4,8.6,0.1
2026-03-02,28.7,47,22.7,59.8,8.6,0.2
2026-03-03,30.7,47,26.3,80.7,8.6,0.2
2026-03-04,29.8,47,26.9,68.6,8.6,0.2
2026-03-05,29,47,27.7,62.5,8.6,0.2
2026-03-06,28.9,46.9,26.9,70.1,8.6,0.2
2026-03-07,26.9,47,28.4,53,8.6,0.1
2026-03-08,25,47,26.7,32.7,8.6,0.1
2026-03-09,26.3,46.9,26.3,57.3,8.6,0.2
2026-03-10,26.3,46.9,22.1,53.5,8.6,0.3
2026-03-11,25.9,46.9,19.3,50.1,8.6,0.7
2026-03-12,27.1,46.9,25.4,51.9,8.6,0.2
2026-03-13,25.1,41.7,30.3,48,8.6,0.6
2026-03-14,26.5,38.3,6.1,36.7,8.6,0.6
2026-03-15,26,38.3,21.7,27.1,8.6,0.3
2026-03-16,27.9,38.3,18.9,53.1,8.6,0.4
2026-03-17,28.3,38.2,33.5,47.4,8.6,0.3
2026-03-18,27.2,38.2,34,44.9,8.6,0.7
2026-03-19,27.1,38.2,35.2,53.7,8.6,0.3
2026-03-20,26.2,38.1,36.4,52.3,8.6,0.3
2026-03-21,23.9,38.2,28.8,26.9,8.6,0.2
2026-03-22,22.9,38.2,27.3,21.1,8.6,0.2
2026-03-23,25.6,42.8,29.8,70.9,8.6,0.2
2026-03-24,24.2,55.1,37.6,37.5,8.6,0.2
2026-03-25,25.8,57.5,23.8,51.7,8.6,1
2026-03-26,27.2,58.9,24.3,57.5,8.6,0.9
2026-03-27,24.9,60.3,29.7,50,8.6,0.6
2026-03-28,21.5,61.6,30.8,29.7,8.6,0.3
2026-03-29,19.1,62.5,30.3,11.5,8.6,0.5
2026-03-30,20.8,62.5,19.1,43.9,8.6,0.7
2026-03-31,22,62.3,34.6,50,8.6,0.5
2026-04-01,21.9,62.3,38.5,48.6,8,0.5
2026-04-02,20,62.3,33.7,37,8,0.5
2026-04-03,18.2,62.1,40.3,23.1,8,0.3
2026-04-04,19.1,61.9,34.3,13.9,8,0.3
2026-04-05,22.7,61.6,39.8,11.4,8,0.6
2026-04-06,26.6,60.8,38,21.4,8,0.2
2026-04-07,30.2,61.8,40.4,43.1,8,0.1
2026-04-08,34.2,61.8,42,48.5,8,0.2
2026-04-09,33.8,61.9,42.3,44.6,8,0.2
2026-04-10,34.1,61.9,26.4,63.4,8,0.3
2026-04-11,32.9,61.8,36.9,22.1,8,0.3
2026-04-12,34.2,62.1,16.9,41.5,8,0.3
2026-04-13,38.8,62.2,14.6,81.4,8,0.3
2026-04-14,32.8,62.2,20.3,73.2,8,0.3
2026-04-15,null,null,32.9,42.7,8,0.2
2026-04-16,43.3,63,37.5,null,8,0.1
2026-04-17,42.6,63,37.9,null,8,0.1
2026-04-18,42.8,63,40.3,null,8,0.1
2026-04-19,44.1,63,33.2,null,8,0.3
2026-04-20,44.4,63,35.5,null,8,0.3
2026-04-21,43.4,63,35.3,null,8,0.3
2026-04-22,42,63,33.9,null,8,0.4
2026-04-23,41,63,37.9,null,8,0.3
2026-04-24,41.3,63,31.7,null,8,0.3
2026-04-25,41.6,63,34.9,null,8,0.3
2026-04-26,42.9,63,36.2,null,8,0.3
2026-04-27,43.2,63,34.4,null,8,0.3
